time,ID,Reg_treatment,Y,variable,Treatment_status
1,RM1,1,7.667477,BAL,Remdesevir
3,RM1,1,6.582387,BAL,Remdesevir
7,RM1,1,4.906216,BAL,Remdesevir
0,RM1,1,1,BAL,Remdesevir
1,RM2,1,7.45777,BAL,Remdesevir
3,RM2,1,5.931559,BAL,Remdesevir
7,RM2,1,4.116613,BAL,Remdesevir
0,RM2,1,1,BAL,Remdesevir
1,RM3,1,6.580349,BAL,Remdesevir
3,RM3,1,4.439027,BAL,Remdesevir
7,RM3,1,2.308396,BAL,Remdesevir
0,RM3,1,1,BAL,Remdesevir
1,RM4,1,7.822744,BAL,Remdesevir
3,RM4,1,6.961456,BAL,Remdesevir
7,RM4,1,3.082178,BAL,Remdesevir
0,RM4,1,1,BAL,Remdesevir
1,RM5,1,6.310119,BAL,Remdesevir
3,RM5,1,5.441197,BAL,Remdesevir
7,RM5,1,1,BAL,Remdesevir
0,RM5,1,1,BAL,Remdesevir
1,RM6,1,5.365837,BAL,Remdesevir
3,RM6,1,5.600017,BAL,Remdesevir
7,RM6,1,3.205065,BAL,Remdesevir
0,RM6,1,1,BAL,Remdesevir
2,RM1,1,nan,BAL,Remdesevir
4,RM1,1,nan,BAL,Remdesevir
5,RM1,1,nan,BAL,Remdesevir
6,RM1,1,nan,BAL,Remdesevir
2,RM2,1,nan,BAL,Remdesevir
4,RM2,1,nan,BAL,Remdesevir
5,RM2,1,nan,BAL,Remdesevir
6,RM2,1,nan,BAL,Remdesevir
2,RM3,1,nan,BAL,Remdesevir
4,RM3,1,nan,BAL,Remdesevir
5,RM3,1,nan,BAL,Remdesevir
6,RM3,1,nan,BAL,Remdesevir
2,RM4,1,nan,BAL,Remdesevir
4,RM4,1,nan,BAL,Remdesevir
5,RM4,1,nan,BAL,Remdesevir
6,RM4,1,nan,BAL,Remdesevir
2,RM5,1,nan,BAL,Remdesevir
4,RM5,1,nan,BAL,Remdesevir
5,RM5,1,nan,BAL,Remdesevir
6,RM5,1,nan,BAL,Remdesevir
2,RM6,1,nan,BAL,Remdesevir
4,RM6,1,nan,BAL,Remdesevir
5,RM6,1,nan,BAL,Remdesevir
6,RM6,1,nan,BAL,Remdesevir
