time,ID,Reg_treatment,Y,variable,Treatment_status
1,RM7,0,8.653649,BAL,Vehicle
3,RM7,0,7.020511,BAL,Vehicle
7,RM7,0,5.070759,BAL,Vehicle
0,RM7,0,1,BAL,Vehicle
1,RM8,0,6.87148,BAL,Vehicle
3,RM8,0,5.791543,BAL,Vehicle
7,RM8,0,3.998306,BAL,Vehicle
0,RM8,0,1,BAL,Vehicle
1,RM9,0,7.943917,BAL,Vehicle
3,RM9,0,6.818147,BAL,Vehicle
7,RM9,0,3.548704,BAL,Vehicle
0,RM9,0,1,BAL,Vehicle
1,RM10,0,8.318572,BAL,Vehicle
3,RM10,0,7.160527,BAL,Vehicle
7,RM10,0,4.858263,BAL,Vehicle
0,RM10,0,1,BAL,Vehicle
1,RM11,0,7.098492,BAL,Vehicle
3,RM11,0,7.44818,BAL,Vehicle
7,RM11,0,5.00392,BAL,Vehicle
0,RM11,0,1,BAL,Vehicle
1,RM12,0,8.015233,BAL,Vehicle
3,RM12,0,6.927333,BAL,Vehicle
7,RM12,0,3.616157,BAL,Vehicle
0,RM12,0,1,BAL,Vehicle
2,RM7,0,nan,BAL,Vehicle
4,RM7,0,nan,BAL,Vehicle
5,RM7,0,nan,BAL,Vehicle
6,RM7,0,nan,BAL,Vehicle
2,RM8,0,nan,BAL,Vehicle
4,RM8,0,nan,BAL,Vehicle
5,RM8,0,nan,BAL,Vehicle
6,RM8,0,nan,BAL,Vehicle
2,RM9,0,nan,BAL,Vehicle
4,RM9,0,nan,BAL,Vehicle
5,RM9,0,nan,BAL,Vehicle
6,RM9,0,nan,BAL,Vehicle
2,RM10,0,nan,BAL,Vehicle
4,RM10,0,nan,BAL,Vehicle
5,RM10,0,nan,BAL,Vehicle
6,RM10,0,nan,BAL,Vehicle
2,RM11,0,nan,BAL,Vehicle
4,RM11,0,nan,BAL,Vehicle
5,RM11,0,nan,BAL,Vehicle
6,RM11,0,nan,BAL,Vehicle
2,RM12,0,nan,BAL,Vehicle
4,RM12,0,nan,BAL,Vehicle
5,RM12,0,nan,BAL,Vehicle
6,RM12,0,nan,BAL,Vehicle
0,RM17,0,1,BAL,Vehicle
1,RM17,0,8.454844,BAL,Vehicle
3,RM17,0,6.824313,BAL,Vehicle
5,RM17,0,5.721277,BAL,Vehicle
0,RM18,0,1,BAL,Vehicle
1,RM18,0,7.190299,BAL,Vehicle
3,RM18,0,5.558604,BAL,Vehicle
5,RM18,0,4.932097,BAL,Vehicle
0,RM19,0,1,BAL,Vehicle
1,RM19,0,8.471578,BAL,Vehicle
3,RM19,0,6.549259,BAL,Vehicle
5,RM19,0,5.912802,BAL,Vehicle
0,RM20,0,1,BAL,Vehicle
1,RM20,0,8.381538,BAL,Vehicle
3,RM20,0,6.20365,BAL,Vehicle
5,RM20,0,6.422247,BAL,Vehicle
2,RM17,0,nan,BAL,Vehicle
4,RM17,0,nan,BAL,Vehicle
6,RM17,0,nan,BAL,Vehicle
7,RM17,0,nan,BAL,Vehicle
2,RM18,0,nan,BAL,Vehicle
4,RM18,0,nan,BAL,Vehicle
6,RM18,0,nan,BAL,Vehicle
7,RM18,0,nan,BAL,Vehicle
2,RM19,0,nan,BAL,Vehicle
4,RM19,0,nan,BAL,Vehicle
6,RM19,0,nan,BAL,Vehicle
7,RM19,0,nan,BAL,Vehicle
2,RM20,0,nan,BAL,Vehicle
4,RM20,0,nan,BAL,Vehicle
6,RM20,0,nan,BAL,Vehicle
7,RM20,0,nan,BAL,Vehicle
