id,k2_mode,k1T_mode,k2T_mode,k3T_mode,k1e_mode,k2e_mode,k3e_mode,k12_mode,k23_mode,k24T_mode,k34T_mode,k3_mode,V1_mode,V2_mode,V3_mode,V3T_mode,V4T_mode,beta,EC50,delta,k,EC50b,pi,deltab,pib,rhob,rb,tau,tau_RDV,tau_RDV_BAL,CAT
RM7,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.607,1.00E-10,168.634,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399985,5.75E-05,-6.73,0.339933,1.32919,0.0854502,0.339933,2.7824,0.371328,1.07474,1.27E-07,2,0.00556605,0.288786,0.0891268,NT
RM8,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.606,1.00E-10,168.625,7.85985,0.00277875,1.16E-07,1.74E-05,0.0039997,5.75E-05,-6.73,0.339933,1.43731,0.0871476,0.339933,2.76743,0.411066,0.943145,1.37E-07,2,0.00556605,0.288687,0.0891442,NT
RM9,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.607,1.00E-10,168.634,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399989,5.75E-05,-6.73,0.339933,1.09846,0.0876669,0.339933,2.77538,0.408746,1.00971,1.31E-07,2,0.00556605,0.288667,0.0891427,NT
RM10,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.607,1.00E-10,168.635,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399993,5.75E-05,-6.73,0.339933,0.767294,0.084792,0.339933,2.78286,0.375169,1.06085,1.28E-07,2,0.00556605,0.28875,0.089134,NT
RM11,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.607,1.00E-10,168.634,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399991,5.75E-05,-6.73,0.339933,1.10555,0.0848569,0.339933,2.76117,0.370023,1.03175,1.31E-07,2,0.00556605,0.288671,0.0891469,NT
RM12,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.607,1.00E-10,168.634,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399991,5.75E-05,-6.73,0.339933,0.817691,0.0862732,0.339933,2.77012,0.406793,1.01379,1.30E-07,2,0.00556605,0.288659,0.0891464,NT
RM13,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.605,1.00E-10,168.631,7.85985,0.00277878,1.16E-07,1.74E-05,0.0039999,5.75E-05,-6.73,0.339933,0.846371,0.0862731,0.339933,2.77694,0.400362,1.0006,1.33E-07,2,0.00556605,0.288684,0.0891458,NT
RM14,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.611,1.00E-10,168.639,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399977,5.75E-05,-6.73,0.339933,0.828923,0.0862295,0.339933,2.76561,0.400677,1.00108,1.33E-07,2,0.00556605,0.288666,0.0891493,NT
RM15,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.607,1.00E-10,168.633,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399994,5.75E-05,-6.73,0.339933,0.947365,0.0865065,0.339933,2.76606,0.400296,1.00064,1.33E-07,2,0.00556605,0.288669,0.0891546,NT
RM16,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.603,1.00E-10,168.623,7.85985,0.00277879,1.16E-07,1.74E-05,0.00399971,5.75E-05,-6.73,0.339933,0.941079,0.0864858,0.339933,2.76352,0.400249,1.00057,1.32E-07,2,0.00556605,0.288681,0.0891405,NT
RM17,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.591,1.00E-10,168.641,7.85985,0.00277876,1.16E-07,1.74E-05,0.00399996,5.75E-05,-6.73,0.339933,0.81088,0.0851954,0.339933,2.76751,0.382654,1.05754,1.28E-07,2,0.00556605,0.288704,0.0891516,NT
RM18,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.622,1.00E-10,168.634,7.85985,0.00277885,1.16E-07,1.74E-05,0.00400069,5.75E-05,-6.73,0.339933,0.691697,0.0865167,0.339933,2.77086,0.416027,0.961634,1.37E-07,2,0.00556605,0.288662,0.0891467,NT
RM19,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.619,1.00E-10,168.639,7.85985,0.00277877,1.16E-07,1.74E-05,0.00399995,5.75E-05,-6.73,0.339933,0.682676,0.0851166,0.339933,2.76867,0.382583,1.05558,1.28E-07,2,0.00556605,0.288673,0.0891561,NT
RM20,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.61,1.00E-10,168.63,7.85985,0.00277878,1.16E-07,1.74E-05,0.00399977,5.75E-05,-6.73,0.339933,1.22752,0.085746,0.339933,2.77411,0.376087,1.05854,1.28E-07,2,0.00556605,0.288668,0.0891397,NT
