time,ID,Reg_treatment,Y,variable,Treatment_status
1,RM7,0,6.328537,NASAL,Vehicle
2,RM7,0,5.639842,NASAL,Vehicle
3,RM7,0,4.022503,NASAL,Vehicle
4,RM7,0,5.032269,NASAL,Vehicle
5,RM7,0,3.337214,NASAL,Vehicle
6,RM7,0,1.982908,NASAL,Vehicle
7,RM7,0,2.344143,NASAL,Vehicle
0,RM7,0,1,NASAL,Vehicle
1,RM8,0,5.003218,NASAL,Vehicle
2,RM8,0,7.115913,NASAL,Vehicle
3,RM8,0,5.840717,NASAL,Vehicle
4,RM8,0,4.757699,NASAL,Vehicle
5,RM8,0,1.587728,NASAL,Vehicle
6,RM8,0,3.243703,NASAL,Vehicle
0,RM8,0,1,NASAL,Vehicle
7,RM8,0,1,NASAL,Vehicle
1,RM9,0,6.205009,NASAL,Vehicle
2,RM9,0,6.952361,NASAL,Vehicle
4,RM9,0,3.861664,NASAL,Vehicle
5,RM9,0,3.908346,NASAL,Vehicle
6,RM9,0,4.177106,NASAL,Vehicle
7,RM9,0,4.820715,NASAL,Vehicle
0,RM9,0,1,NASAL,Vehicle
3,RM9,0,1,NASAL,Vehicle
1,RM10,0,8.243229,NASAL,Vehicle
2,RM10,0,7.26932,NASAL,Vehicle
3,RM10,0,6.90447,NASAL,Vehicle
4,RM10,0,6.111172,NASAL,Vehicle
5,RM10,0,2.894674,NASAL,Vehicle
6,RM10,0,5.529449,NASAL,Vehicle
7,RM10,0,4.240739,NASAL,Vehicle
0,RM10,0,1,NASAL,Vehicle
1,RM11,0,6.159435,NASAL,Vehicle
2,RM11,0,7.358531,NASAL,Vehicle
3,RM11,0,5.465937,NASAL,Vehicle
4,RM11,0,6.418617,NASAL,Vehicle
5,RM11,0,4.36701,NASAL,Vehicle
6,RM11,0,3.913707,NASAL,Vehicle
0,RM11,0,1,NASAL,Vehicle
7,RM11,0,1,NASAL,Vehicle
1,RM12,0,7.360754,NASAL,Vehicle
2,RM12,0,7.72567,NASAL,Vehicle
3,RM12,0,6.724548,NASAL,Vehicle
4,RM12,0,6.307458,NASAL,Vehicle
5,RM12,0,5.18362,NASAL,Vehicle
6,RM12,0,4.74489,NASAL,Vehicle
7,RM12,0,2.142409,NASAL,Vehicle
0,RM12,0,1,NASAL,Vehicle
0,RM13,0,1,NASAL,Vehicle
1,RM13,0,7.735792,NASAL,Vehicle
3,RM13,0,7.009272,NASAL,Vehicle
0,RM14,0,1,NASAL,Vehicle
1,RM14,0,6.877197,NASAL,Vehicle
3,RM14,0,7.536264,NASAL,Vehicle
0,RM15,0,1,NASAL,Vehicle
1,RM15,0,6.642149,NASAL,Vehicle
3,RM15,0,6.137066,NASAL,Vehicle
0,RM16,0,1,NASAL,Vehicle
1,RM16,0,6.465067,NASAL,Vehicle
3,RM16,0,6.276929,NASAL,Vehicle
0,RM17,0,1,NASAL,Vehicle
1,RM17,0,7.087314,NASAL,Vehicle
3,RM17,0,4.36519,NASAL,Vehicle
5,RM17,0,6.456679,NASAL,Vehicle
7,RM17,0,4.024921,NASAL,Vehicle
0,RM18,0,1,NASAL,Vehicle
1,RM18,0,7.28211,NASAL,Vehicle
3,RM18,0,6.950557,NASAL,Vehicle
5,RM18,0,5.163428,NASAL,Vehicle
7,RM18,0,4.480498,NASAL,Vehicle
0,RM19,0,1,NASAL,Vehicle
1,RM19,0,6.827843,NASAL,Vehicle
3,RM19,0,5.242162,NASAL,Vehicle
5,RM19,0,4.947022,NASAL,Vehicle
7,RM19,0,3.603037,NASAL,Vehicle
0,RM20,0,1,NASAL,Vehicle
1,RM20,0,6.417352,NASAL,Vehicle
3,RM20,0,4.455418,NASAL,Vehicle
5,RM20,0,3.237626,NASAL,Vehicle
7,RM20,0,1,NASAL,Vehicle
10,RM17,0,2.928701,NASAL,Vehicle
12,RM17,0,1,NASAL,Vehicle
14,RM17,0,2.015361,NASAL,Vehicle
17,RM17,0,1,NASAL,Vehicle
21,RM17,0,1,NASAL,Vehicle
10,RM18,0,4.880262,NASAL,Vehicle
12,RM18,0,3.026486,NASAL,Vehicle
14,RM18,0,1,NASAL,Vehicle
17,RM18,0,1,NASAL,Vehicle
21,RM18,0,1,NASAL,Vehicle
10,RM19,0,4.436275,NASAL,Vehicle
12,RM19,0,3.736495,NASAL,Vehicle
14,RM19,0,1.695043,NASAL,Vehicle
17,RM19,0,1,NASAL,Vehicle
21,RM19,0,1,NASAL,Vehicle
10,RM20,0,3.920702,NASAL,Vehicle
12,RM20,0,1,NASAL,Vehicle
14,RM20,0,1,NASAL,Vehicle
17,RM20,0,1,NASAL,Vehicle
21,RM20,0,1,NASAL,Vehicle
